,cost,solution
18,341,1 3 4 10 11 12 20 22 23 25 26 27 29 31 34 35 36 37 39 40 42 46 48 51 54 55 58 59 60 62 63 65 66 68 69 70 71 73 75 76 77 78 81 84 85 86 87 88 93 95 98 
19,352,1 4 5 8 10 11 14 15 20 21 24 26 27 29 31 40 42 45 47 48 49 51 53 54 56 57 58 59 60 62 63 65 67 68 69 71 73 75 76 77 78 79 81 82 85 87 89 91 92 95 98 100 
20,344,1 3 4 5 8 12 13 15 18 20 22 23 24 29 31 32 33 35 36 38 39 40 42 43 44 46 48 52 55 56 60 66 70 71 74 75 76 78 83 84 85 87 88 91 93 95 96 100 
21,347,1 2 3 4 7 8 19 21 22 24 27 28 31 32 33 34 35 38 40 41 42 43 44 47 50 52 53 55 58 59 60 63 64 66 68 71 74 75 76 79 80 82 86 87 89 91 93 94 96 97 100 
22,346,1 3 6 7 10 11 12 14 17 20 23 25 26 27 29 31 33 34 39 40 42 48 49 51 54 58 60 63 65 69 70 71 73 77 78 79 81 84 85 87 88 90 91 92 93 94 95 98 
23,338,1 3 6 10 12 16 19 21 25 26 28 31 32 34 35 37 38 42 45 47 49 54 55 61 63 65 67 68 69 70 72 73 76 77 79 81 82 83 84 85 86 87 89 90 92 93 94 95 97 98 
24,344,1 3 4 5 7 8 11 20 23 24 27 29 31 32 33 34 35 36 38 39 40 42 43 44 48 49 52 55 56 58 60 66 68 69 70 71 74 75 76 77 78 82 84 85 87 89 91 92 98 
25,347,1 3 4 7 8 19 20 24 26 29 31 32 33 34 35 36 38 39 40 42 43 44 47 52 55 56 58 59 60 66 68 69 70 71 74 75 76 77 78 82 84 85 87 88 89 91 92 93 98 
26,343,1 4 13 15 16 18 19 20 21 26 27 28 29 31 35 36 37 38 43 45 46 47 48 51 52 53 54 56 57 59 60 61 62 64 65 66 67 68 70 72 73 75 76 79 82 84 87 91 95 96 100 
27,345,1 2 3 4 6 7 8 11 17 20 22 24 26 27 29 31 33 34 36 38 39 51 54 56 58 59 60 63 68 69 71 73 74 77 78 81 84 85 87 88 89 91 92 93 95 98 100 
28,340,1 3 4 5 7 8 11 12 20 24 29 31 32 33 35 36 38 39 40 42 43 44 46 47 49 52 56 57 58 59 60 65 66 70 71 74 76 77 78 82 83 84 85 86 87 88 92 93 98 99 
29,344,1 2 4 6 9 10 11 12 13 17 18 19 22 23 25 27 30 37 39 40 42 46 48 50 54 55 62 63 64 65 67 69 70 71 72 73 74 77 78 81 83 84 85 88 91 93 94 95 96 
30,340,1 4 7 8 10 11 15 19 21 23 25 27 28 31 33 34 38 40 41 42 43 50 55 58 60 63 64 65 68 71 73 74 75 76 77 79 80 81 82 84 86 87 89 92 94 96 97 98 
31,354,1 4 8 10 11 19 20 21 26 29 31 34 35 40 42 45 46 47 48 51 52 54 56 57 58 59 60 62 63 65 67 68 69 70 71 73 75 76 77 78 79 81 82 84 85 87 88 91 92 93 95 98 
